codigo,planta,material,lado_corto_m,lado_largo_m,tipo,x_plano,y_plano
PB-M-014,PB,Moret,0.394,1.194,recorte,497.562,-81.407
PB-M-015,PB,Moret,0.6,1.074,recorte,493.451,-82.543
PB-M-016,PB,Moret,0.6,1.074,recorte,497.063,-82.543
PB-M-017,PB,Moret,0.394,1.074,recorte,497.562,-82.543
PB-M-018,PB,Moret,0.6,1.114,recorte,489.839,-82.563
PB-M-019,PB,Moret,0.6,1.114,recorte,490.441,-82.563
PB-M-020,PB,Moret,0.6,1.114,recorte,491.043,-82.563
PB-M-021,PB,Moret,0.6,1.114,recorte,491.645,-82.563
PB-M-022,PB,Moret,0.6,1.114,recorte,492.247,-82.563
PB-M-023,PB,Moret,0.6,1.114,recorte,492.849,-82.563
PB-M-024,PB,Moret,0.6,1.114,recorte,494.053,-82.563
PB-M-025,PB,Moret,0.6,1.114,recorte,494.655,-82.563
PB-M-026,PB,Moret,0.6,1.114,recorte,495.257,-82.563
PB-M-027,PB,Moret,0.6,1.114,recorte,495.859,-82.563
PB-M-028,PB,Moret,0.6,1.114,recorte,496.461,-82.563
PB-M-029,PB,Moret,0.6,1.146,recorte,489.839,-83.773
PB-M-030,PB,Moret,0.6,1.146,recorte,490.441,-83.773
PB-M-031,PB,Moret,0.6,1.146,recorte,491.043,-83.773
PB-M-032,PB,Moret,0.6,1.146,recorte,491.645,-83.773
PB-M-033,PB,Moret,0.6,1.146,recorte,492.247,-83.773
PB-M-034,PB,Moret,0.6,1.146,recorte,492.849,-83.773
PB-M-035,PB,Moret,0.6,1.086,recorte,493.451,-83.803
PB-M-036,PB,Moret,0.6,1.146,recorte,494.053,-83.773
PB-M-037,PB,Moret,0.6,1.146,recorte,494.655,-83.773
PB-M-038,PB,Moret,0.6,1.146,recorte,495.257,-83.773
PB-M-039,PB,Moret,0.6,1.146,recorte,495.859,-83.773
PB-M-040,PB,Moret,0.6,1.146,recorte,496.461,-83.773
PB-M-041,PB,Moret,0.6,1.086,recorte,497.063,-83.803
PB-M-042,PB,Moret,0.6,1.194,completa,489.839,-84.945
PB-M-043,PB,Moret,0.6,1.194,completa,490.441,-84.945
PB-M-044,PB,Moret,0.6,1.194,completa,491.043,-84.945
PB-M-045,PB,Moret,0.6,1.194,completa,491.645,-84.945
PB-M-046,PB,Moret,0.6,1.194,completa,492.247,-84.945
PB-M-047,PB,Moret,0.6,1.194,completa,492.849,-84.945
PB-M-048,PB,Moret,0.6,1.194,completa,493.451,-84.945
PB-M-049,PB,Moret,0.6,1.194,completa,494.053,-84.945
PB-M-050,PB,Moret,0.6,1.194,completa,494.655,-84.945
PB-M-051,PB,Moret,0.6,1.194,completa,495.257,-84.945
PB-M-052,PB,Moret,0.6,1.194,completa,495.859,-84.945
PB-M-053,PB,Moret,0.6,1.194,completa,496.461,-84.945
PB-M-054,PB,Moret,0.6,1.194,completa,497.063,-84.945
PB-M-055,PB,Moret,0.6,1.194,completa,490.441,-86.141
PB-M-056,PB,Moret,0.6,1.194,completa,491.043,-86.141
PB-M-057,PB,Moret,0.6,1.194,completa,491.645,-86.141
PB-M-058,PB,Moret,0.6,1.194,completa,492.247,-86.141
PB-M-059,PB,Moret,0.6,1.194,completa,492.849,-86.141
PB-M-060,PB,Moret,0.6,1.194,completa,493.451,-86.141
PB-M-061,PB,Moret,0.6,1.194,completa,494.053,-86.141
PB-M-062,PB,Moret,0.6,1.194,completa,494.655,-86.141
PB-M-063,PB,Moret,0.6,1.194,completa,495.257,-86.141
PB-M-064,PB,Moret,0.6,1.194,completa,495.859,-86.141
PB-M-065,PB,Moret,0.6,1.194,completa,496.461,-86.141
PB-M-066,PB,Moret,0.6,1.194,completa,497.063,-86.141
PB-M-067,PB,Moret,0.6,1.192,completa,489.839,-87.336
PB-M-068,PB,Moret,0.6,1.194,completa,489.841,-87.336
PB-M-069,PB,Moret,0.6,1.192,completa,490.441,-87.336
PB-M-070,PB,Moret,0.6,1.192,completa,491.043,-87.336
PB-M-071,PB,Moret,0.6,1.192,completa,491.645,-87.336
PB-M-072,PB,Moret,0.6,1.192,completa,492.247,-87.336
PB-M-073,PB,Moret,0.6,1.192,completa,492.849,-87.336
PB-M-074,PB,Moret,0.6,1.192,completa,493.451,-87.336
PB-M-075,PB,Moret,0.6,1.192,completa,494.053,-87.336
PB-M-076,PB,Moret,0.6,1.192,completa,494.655,-87.336
PB-M-077,PB,Moret,0.6,1.192,completa,495.257,-87.336
PB-M-078,PB,Moret,0.6,1.192,completa,495.859,-87.336
PB-M-079,PB,Moret,0.6,1.192,completa,496.461,-87.336
PB-M-080,PB,Moret,0.6,1.12,recorte,497.063,-87.3
PB-M-081,PB,Moret,0.471,0.6,recorte,495.257,-88.17
PB-M-082,PB,Moret,0.33,0.589,recorte,495.994,-88.229
PB-M-083,PB,Moret,0.589,0.598,recorte,496.46,-88.229
PB-M-084,PB,Moret,0.6,1.194,completa,489.839,-88.531
PB-M-085,PB,Moret,0.6,1.194,completa,490.441,-88.531
PB-M-086,PB,Moret,0.6,1.194,completa,491.043,-88.531
PB-M-087,PB,Moret,0.6,1.194,completa,491.645,-88.531
PB-M-088,PB,Moret,0.6,1.194,completa,492.247,-88.531
PB-M-089,PB,Moret,0.6,1.194,completa,492.849,-88.531
PB-M-090,PB,Moret,0.6,1.194,completa,493.451,-88.531
PB-M-091,PB,Moret,0.6,1.194,completa,494.053,-88.531
PB-M-092,PB,Moret,0.284,1.194,recorte,494.497,-88.531
PB-M-093,PB,Moret,0.6,1.194,completa,495.257,-89.122
PB-M-094,PB,Moret,0.6,1.194,completa,495.859,-89.122
PB-M-095,PB,Moret,0.6,1.194,completa,496.461,-89.122
PB-M-096,PB,Moret,0.6,1.109,recorte,497.063,-89.165
PB-M-097,PB,Moret,0.394,1.109,recorte,497.562,-89.165
PB-M-098,PB,Moret,0.6,1.194,completa,489.839,-89.727
PB-M-099,PB,Moret,0.6,1.194,completa,490.441,-89.727
PB-M-100,PB,Moret,0.6,1.194,completa,491.043,-89.727
PB-M-101,PB,Moret,0.6,1.194,completa,491.645,-89.727
PB-M-102,PB,Moret,0.6,1.194,completa,492.247,-89.727
PB-M-103,PB,Moret,0.6,1.194,completa,492.849,-89.727
PB-M-104,PB,Moret,0.6,1.194,completa,493.451,-89.727
PB-M-105,PB,Moret,0.6,1.194,completa,494.053,-89.727
PB-M-106,PB,Moret,0.284,1.194,recorte,494.497,-89.727
PB-M-107,PB,Moret,0.439,0.6,recorte,495.257,-89.941
PB-M-108,PB,Moret,0.439,0.6,recorte,495.859,-89.941
PB-M-109,PB,Moret,0.439,0.6,recorte,496.461,-89.941
PB-M-110,PB,Moret,0.439,0.6,recorte,497.063,-89.941
